,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
52,CHEMBL831,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.8150000000001,3.7714000000000025,0.0,4.0,7.267606240177032
53,CHEMBL415300,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,326.83100000000013,3.7227000000000023,1.0,4.0,7.468521082957745
54,CHEMBL72292,CN1CCN(C2=Nc3ccccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,440.4470000000002,3.2977000000000016,1.0,7.0,6.853871964321762
55,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83100000000013,3.7227000000000023,1.0,4.0,6.585026652029182
56,CHEMBL70319,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,474.8920000000002,3.951100000000003,1.0,7.0,7.522878745280337
57,CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87100000000015,4.425600000000004,1.0,3.0,8.309803919971486
58,CHEMBL73589,CN1CCN(C2=Nc3ccccc3Sc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,457.4990000000002,3.705300000000003,0.0,7.0,7.638272163982407
59,CHEMBL306474,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(C)(=O)=O)cc32)CC1,387.4610000000002,2.4564000000000004,0.0,7.0,6.0
60,CHEMBL430798,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,441.43100000000015,3.346400000000002,0.0,7.0,7.2839966563652006
61,CHEMBL120055,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,392.5030000000002,2.705120000000001,2.0,4.0,5.0
62,CHEMBL160581,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(c4cccc5ccccc45)CC3)cc12,428.5360000000001,3.549900000000002,2.0,4.0,6.0
63,CHEMBL349034,Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1,383.5150000000002,3.798700000000003,1.0,5.0,7.102372908709558
64,CHEMBL164792,COc1ccccc1N1CCN(CC[C@H]2CC[C@H](Nc3ncccn3)CC2)CC1,395.5510000000001,3.6682000000000023,1.0,6.0,8.00436480540245
65,CHEMBL553331,Cl.Cl.Cn1c(=O)c2c(ncn2CCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n(C)c1=O,581.4950000000001,3.352800000000002,0.0,8.0,7.366531544420414
66,CHEMBL305660,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,469.6690000000001,7.217600000000008,0.0,3.0,7.214670164989233
67,CHEMBL338611,Cn1c(=O)c2c(ncn2CCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)n(C)c1=O.O=C(O)/C=C/C(=O)O,587.6770000000004,3.0797,2.0,9.0,7.3872161432802645
68,CHEMBL558226,COc1cc(N)c(Cl)cc1C(=O)NC1C2CC3CN(C2)CC31.Cl,358.2690000000002,2.0325,2.0,4.0,5.0
69,CHEMBL67555,COc1cc(N)c(Cl)cc1C(=O)NCC12CC3CN(CC3C1)C2,335.83500000000015,2.0023999999999997,2.0,4.0,5.0
