Name;RF;XGB;Mean;SD;CV
ZINC000003872566;6.285766384;6.0422554;6.164010892;0.121755492;0.019752641
ZINC000003872994;5.737264809;5.8901744;5.813719605;0.076454796;0.013150754
ZINC000000000061;6.971452003;7.2651687;7.118310352;0.146858349;0.020631069
ZINC000000085733;6.971452003;7.2651687;7.118310352;0.146858349;0.020631069
ZINC000001536109;6.401240088;5.471284;5.936262044;0.464978044;0.078328423
ZINC000001546066;6.227327443;5.7478538;5.987590622;0.239736822;0.040038947
ZINC000001530863;6.367258968;5.886936;6.127097484;0.240161484;0.039196615
ZINC000019632633;6.278060295;6.289819;6.283939648;0.005879352;0.000935616
ZINC000003802690;6.389716509;6.139303;6.264509755;0.125206755;0.01998668
ZINC000003798750;6.8943309;6.630389;6.76235995;0.13197095;0.019515517
ZINC000003874950;6.138273371;5.7272654;5.932769386;0.205503986;0.034638796
ZINC000000895042;6.918638047;6.3045845;6.611611274;0.307026774;0.046437511
ZINC000000895048;5.695899835;5.9235363;5.809718068;0.113818233;0.019591008
ZINC000000895316;5.453167402;5.260325;5.356746201;0.096421201;0.017999957
ZINC000000901791;6.849995694;7.060765;6.955380347;0.105384653;0.01515153
ZINC000001531008;5.814101589;6.188435;6.001268295;0.187166706;0.031187858
ZINC000001532522;6.912989751;6.8426433;6.877816526;0.035173225;0.00511401
ZINC000002539702;5.598761567;5.9324884;5.765624984;0.166863417;0.02894108
ZINC000003809490;5.987851302;5.4827647;5.735308001;0.252543301;0.044033084
ZINC000003830891;6.404830787;5.728278;6.066554394;0.338276394;0.055760877
ZINC000004474414;5.804031945;5.6769657;5.740498823;0.063533123;0.011067526
ZINC000008214573;5.680360145;5.107309;5.393834573;0.286525573;0.053120942
ZINC000018279893;5.748332835;6.2120924;5.980212618;0.231879783;0.038774505
ZINC000033943508;5.978324501;5.3632703;5.670797401;0.307527101;0.054229957
ZINC000100017404;5.857150046;5.252571;5.554860523;0.302289523;0.054418922
ZINC000000001011;5.708055589;5.5907264;5.649390995;0.058664594;0.010384233
ZINC000000001411;5.718613245;5.604673;5.661643123;0.056970123;0.010062471
ZINC000000895318;5.453167402;5.260325;5.356746201;0.096421201;0.017999957
ZINC000001530575;5.932776602;5.197735;5.565255801;0.367520801;0.066038438
ZINC000002016052;5.702591853;5.1520286;5.427310227;0.275281627;0.050721557
ZINC000003780893;6.080825464;5.814957;5.947891232;0.132934232;0.022349809
ZINC000003875332;6.232462454;5.511671;5.872066727;0.360395727;0.061374597
ZINC000004095858;5.22778228;5.141934;5.18485814;0.04292414;0.008278749
ZINC000008577218;6.245020431;5.412595;5.828807716;0.416212716;0.07140615
ZINC000000643143;5.737264809;5.8901744;5.813719605;0.076454796;0.013150754
ZINC000100015048;5.761006933;5.6434484;5.702227667;0.058779267;0.010308123
ZINC000004474460;5.736446146;5.584128;5.660287073;0.076159073;0.013454984
ZINC000004629876;5.736446146;5.584128;5.660287073;0.076159073;0.013454984
ZINC000004228257;6.166368239;5.754964;5.96066612;0.20570212;0.034509921
ZINC000003800706;6.193690192;6.1125097;6.153099946;0.040590246;0.006596715
ZINC000001530303;5.506183681;5.2437124;5.374948041;0.131235641;0.024416169
ZINC000001532517;5.66777347;5.1155787;5.391676085;0.276097385;0.051208081
ZINC000001532805;5.915435273;5.9834366;5.949435937;0.034000664;0.005714939
ZINC000003807917;5.936098364;5.6777043;5.806901332;0.129197032;0.022248877
ZINC000003812851;6.306908726;6.0158224;6.161365563;0.145543163;0.0236219
ZINC000003914810;6.304296184;5.661161;5.982728592;0.321567592;0.05374932
ZINC000004658557;5.50948156;5.1619196;5.33570058;0.17378098;0.032569478
ZINC000009212428;5.944684552;5.6413436;5.793014076;0.151670476;0.026181617
ZINC000013585233;6.166368239;5.754964;5.96066612;0.20570212;0.034509921
ZINC000169621220;6.605198555;6.4646544;6.534926478;0.070272078;0.010753308
ZINC000000001084;6.386117077;5.742097;6.064107039;0.322010039;0.053100982
ZINC000000049153;5.29223961;4.8697634;5.081001505;0.211238105;0.041574108
ZINC000001487602;5.702591853;5.1520286;5.427310227;0.275281627;0.050721557
ZINC000100006770;5.744003714;6.0953636;5.919683657;0.175679943;0.029677252
ZINC000002036848;6.286635427;6.4892364;6.387935914;0.101300487;0.015858094
ZINC000003830218;5.849690221;5.8750753;5.862382761;0.012692539;0.002165082
ZINC000003881958;5.163663199;4.7582226;4.9609429;0.2027203;0.04086326
ZINC000004217475;5.276007122;5.298135;5.287071061;0.011063939;0.00209264
ZINC000018043251;6.376874985;5.725323;6.051098993;0.325775993;0.053837492
